//ID,   Name,                   Jname,                  LV,     HP,         SP,     EXP,        JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,   Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%,     Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength

8000,   EasterFluffy,           EasterFluffy,           30,     500,        0,      0,          7,      1,      10,     12,     0,      5,      1,      1,      1,      0,      20,     25,     1,      1,      1,      3,      20,     129,    800,    1872,   672,    480,    1208,   2000,       1209,   2000,   1210,   2000,   1211,   1000,   1212,   1000,   1213,   200,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      40

8001,   FireLizard,             FireLizard,             30,     5000,       0,      0,          841,    5,      260,    375,    10,     70,     5,      40,     10,     70,     70,     40,     4,      9,      1,      1,      69,     141,    500,    2000,   672,    300,    701,    600,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      

8002,   SnakeLord,              SnakeLord,              300,    40000,      0,      0,          4321,   2,      80,     120,    10,     10,     20,     40,     10,     10,     40,     10,     1,      1,      1,      0,      20,     132,    200,    1500,   672,    480,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0

8003,   Duck,                   Duck,                   15,     160,        1,      0,          5,      1,      15,     25,     1,      6,      1,      3,      1,      0,      15,     40,     1,      1,      1,      3,      20,     129,    400,    800,    672,    480,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      15

8004,   Reaper2,                Reaper2,                50,     5550,       0,      0,          1321,   7,      222,    333,    30,     80,     100,    120,    70,     120,    100,    50,     1,      50,     1,      1,      89,     165,    500,    1200,   800,    300,    777,    1000,       775,    500,    776,    100,    1221,   10,     0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0

8005,   BallLightning,          BallLightning,          40,     10,         0,      0,          1,      1,      5,      10,     40,     65,     1,      200,    1,      1,      1,      1,      1,      50,     1,      0,      47,     133,    110,    1500,   672,    0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0

